Country Name,Country Code,Indicator Name,Indicator Code,Region,Income Group,Year,Value
Bosnia and Herzegovina,BIH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,Upper middle income,2015,6.7
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Upper middle income,2015,6.10287762
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Upper middle income,2015,63.215
Botswana,BWA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Upper middle income,2015,141.0
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Upper middle income,2015,44.2
Botswana,BWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Upper middle income,2015,46.7
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,Upper middle income,2015,8.90929985
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,Upper middle income,2015,75.106
Brazil,BRA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,Upper middle income,2015,63.0
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,Upper middle income,2015,13.7
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,Upper middle income,2015,16.0
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,High income,2015,
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,High income,2015,76.558
British Virgin Islands,VGB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Latin America & Caribbean,High income,2015,
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Latin America & Caribbean,High income,2015,14.1
British Virgin Islands,VGB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latin America & Caribbean,High income,2015,15.5
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,High income,2015,2.38708901
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,High income,2015,74.88
Brunei Darussalam,BRN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,East Asia & Pacific,High income,2015,39.0
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,East Asia & Pacific,High income,2015,9.0
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,East Asia & Pacific,High income,2015,10.7
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Europe & Central Asia,High income,2015,7.39363575
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,High income,2015,74.61463414634147
Bulgaria,BGR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Europe & Central Asia,High income,2015,7.0
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Europe & Central Asia,High income,2015,6.8
Bulgaria,BGR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Europe & Central Asia,High income,2015,8.2
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Low income,2015,5.13192415
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,Low income,2015,58.778
Burkina Faso,BFA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sub-Saharan Africa,Low income,2015,328.0
Burkina Faso,BFA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Sub-Saharan Africa,Low income,2015,56.3
Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Sub-Saharan Africa,Low income,2015,100.8
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,Low income,2015,6.29044485
